"Ya en calendario","...2","Prioridad","Nombre","Alcaldía","cve_col","Grupo Electoral","Poblacion 2020","Colonias operativas","Grado Marginación","Nivel Desarrollo Social","Indice Desarrollo Social","Postes Totales","Postes C5","WiFi Barrio","Unidad habitacional","Unidad habitacional en programa WiFi","Razon","Asentamiento irregular","Fecha","visita"
1,NA,"P1","SAN LORENZO TEZONCO (PBLO)","IZTAPALAPA","07-191","Voto duro Morena",8455,1.056875,5,"Muy Bajo",0.77568075952,17,16,1,1,1,497.352941176471,0,"jueves 15 de diciembre",NA
1,NA,"P2","STA MARTHA ACATITLA NTE (AMPL) II","IZTAPALAPA","07-300","Voto duro Morena",8591,1.073875,4,"Muy Bajo",0.76994207593,19,19,0,0,0,452.157894736842,0,"viernes 16 de diciembre",NA
1,NA,"P1","EJTO CONSTITUCIONALISTA","IZTAPALAPA","07-044","Voto duro Morena",7398,0.92475,5,"Muy Bajo",0.76749922099,17,17,0,1,1,435.176470588235,0,"lunes 5 de septiembre",NA
1,NA,"P1","LA MAGUEYERA","IZTAPALAPA","07-111","Voto duro Morena",3423,0.427875,5,"Muy Bajo",0.739276508,1,1,0,0,0,3423,0,"jueves 8 de diciembre",NA
1,NA,"P1","MINAS POLVORILLA (U HAB)","IZTAPALAPA","07-140","Voto duro Morena",3108,0.3885,5,"Muy Bajo",0.7566883025,1,1,0,0,0,3108,0,"martes 13 de diciembre",NA
1,NA,"P1","9 1/2 - FRANCISCO VILLA (EJERCITO CONSTITUCIONALISTA) (CONJ HAB)","IZTAPALAPA","07-257","Voto duro Morena",2870,0.35875,5,"Muy Bajo",0.70607724118,1,1,0,1,1,2870,0,"miércoles 28 de diciembre",NA
1,NA,"P2","LA ESTACION","IZTAPALAPA","07-108","Voto duro Morena",2061,0.257625,4,"Muy Bajo",0.73718382,1,1,0,0,0,2061,0,"martes 13 de diciembre",NA
1,NA,"P1","DEGOLLADO CHICO","IZTAPALAPA","07-039","Voto duro Morena",2032,0.254,5,"Muy Bajo",0.73056595454,1,1,0,0,0,2032,0,"lunes 24 de octubre",NA
1,NA,"P1","RINCONADA EL MOLINO","IZTAPALAPA","07-174","Voto duro Morena",1837,0.229625,5,"Muy Bajo",0.76457026667,1,1,0,1,1,1837,0,"lunes 10 de octubre",NA
1,NA,"P1","JOSE MA MORELOS Y PAVON (U HAB)","IZTAPALAPA","07-101","Voto duro Morena",1815,0.226875,5,"Muy Bajo",0.77794721,1,1,0,1,1,1815,0,"lunes 10 de octubre",NA
